Title,Price (Rp)
"Warhammer Chaosbane (Simplified Chinese, English, Korean, Traditional Chinese)","429,000"
"FINAL FANTASY XV ROYAL EDITION (English, Japanese)","629,000"
"Tom Clancy's The Division - Digital Standard Edition PlayStation®Hits (Simplified Chinese, English, Korean, Traditional Chinese)","279,000"
"Bee Simulator (Simplified Chinese, English, Korean, Traditional Chinese)","545,000"
"Werewolf: The Apocalypse – Earthblood (Simplified Chinese, English, Korean, Traditional Chinese)","699,000"
"Werewolf: The Apocalypse – Earthblood (Simplified Chinese, English, Korean, Traditional Chinese)","699,000"
"AO Tennis 2 (Simplified Chinese, English, Korean, Traditional Chinese)","499,000"
ALIENATION™ (English),"270,000"
inFAMOUS First Light™ full game (English/Chinese/Korean Ver.),"170,000"
"AVICII Invector (Simplified Chinese, English, Korean, Japanese)","190,000"
FINAL FANTASY VII REMAKE (English/Japanese Ver.),"429,000"
WORLD OF FINAL FANTASY (English Ver.),"330,000"
"Portal Knights (Simplified Chinese, English, Korean)","140,000"
Child Of Light (English/Japanese Ver.),Included
"Hotshot Racing (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","190,000"
KINGDOM HEARTS Melody of Memory (English),"699,000"
"The Surge (Simplified Chinese, English, Korean)","232,000"
"OVERPASS™ (Simplified Chinese, English, Korean, Traditional Chinese)","429,000"
"Oddworld: Soulstorm Enhanced Edition (Simplified Chinese, English, Japanese, Traditional Chinese)","579,000"
"Necromunda: Underhive Wars (Simplified Chinese, English)","69,750"
Just Cause 4: Reloaded (English Ver.),"499,000"
DYNASTY WARRIORS 8 Empires full game (English Ver.),"606,000"
DYNASTY WARRIORS 8 Empires full game (Traditional Chinese),"659,000"
"DEATH STRANDING Standard Digital Edition (Simplified Chinese, English, Korean, Traditional Chinese)",Included
"DEATH STRANDING DIRECTOR’S CUT (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","729,000"
"TRIALS of MANA (Simplified Chinese, Korean, Traditional Chinese)","629,000"
TRIALS of MANA (English/Japanese Ver.),"629,000"
