Halaman,Berita
16,UNAIR Terima Penambahan Bus Operasional Kampus dari Bank BRI
16,"Kontribusi Terhadap Keberlanjutan Lingkungan, UNAIR Raih 4 Trees Rating dari UI Greenmetric"
16,Waspadai Gangguan Ginjal Akut pada Anak
16,Mahasiswa Ilmu Sejarah UNAIR Dinobatkan sebagai Putri Pariwisata Kalimantan Timur 2022
16,"Kupas Novel Aib dan Nasib, Dosen UNAIR Sampaikan Empat Hal Penting"
16,Pakar Toksikologi UNAIR Beberkan Sifat Dasar dan Efek Senyawa Kimia Gas Air Mata
17,Mahasiswa UNAIR Wakili KBRI Rumania Hadiri Brasov Multicultural Day
17,Mahasiswa UNAIR Wakili KBRI Rumania Hadiri Brasov Multicultural Day
17,Mahasiswa UNAIR Wakili KBRI Rumania Hadiri Brasov Multicultural Day
17,UNAIR Posisi Kedua di Indonesia Versi THE WUR
17,UNAIR Siap Jadi Tuan Rumah Forum Rektor Indonesia 2022
17,"Sukses Bongkar Kasus Pemalsuan Website, Dua Mahasiswa Sekolah Pascasarjana UNAIR Jadi Pembicara di FBI Amerika Serikat"
17,"Peduli Diabetes, Mahasiswa FIB UNAIR Raih Juara 3 di  LPII FEB Universitas Riau"
17,"Kenalkan Budaya Lokal, Mahasiswa UNAIR Raih Juara 3 Esai Nasional"
17,Pakar UNAIR Beri Analisis Pembatasan Pembelian dan Keluhan Pertalite Boros
17,Mahasiswa UNAIR Sabet Juara 1 dalam Essay Competition IDTC 2022
17,"Kuliah Tamu FH UNAIR, Prof Michael Bohne Paparkan Urgensi Perlindungan Data di Bidang Hukum Dagang"
17,"Angkat Isu Kesehatan Mental Anak, Mahasiswa UNAIR Raih Predikat Best Paper Nasional"
18,Dosen FK UNAIR Sebut Hydrogen Fontaine Belum Diketahui Memiliki Standar Medis
18,Pakaian dan Aksesori Gelap Sebabkan Kelainan Kulit: Mitos Atau Fakta?
18,Dosen Battra Imbau Pentingnya Tanaman Toga untuk Kesehatan
18,Duta Besar Pakistan Jajaki Kerja Sama Pendidikan dengan UNAIR
18,"Ikuti Student Exchange, Mahasiswa UNAIR Pelajari Budaya Disiplin Ala Negeri Ginseng"
18,Presiden Jokowi Beri Nama Inavac untuk Vaksin Covid-19 Buatan UNAIR
18,"Dukung Akselerasi Talenta Digital, Bisnis Mahasiswa UNAIR Raih Pendanaan dari Kemdikbud"
18,Mahasiswa UNAIR Kibarkan Bendera Merah Putih di Pusat Pemerintahan Malaysia
18,UNAIR Miliki Sejumlah Strategi Cegah Suap Seleksi Penerimaan Mahasiswa Baru
18,"Kukuhkan Guru Besar, Rektor UNAIR Tekankan Pentingnya Moral"
18,Mahasiswa UNAIR Sabet Juara 1 Kontes Gizi Nasional
18,Inovasi Dosen FPK UNAIR Manfaatkan Limbah PT. Ajinomoto Sebagai Pakan Ikan
19,Rektor Imbau Mahasiswa untuk Saling Mengenal dan Kolaborasi Keilmuwan
19,Mahasiswa UNAIR Temukan Inovasi Deodorant Spray Alami Ekstrak Bintang Laut
19,UNAIR Luluskan 451 Mahasiswa pada Wisuda Agustus 2022
19,Satu Keluarga Alumni Ilmu Hukum UNAIR Raih Rekor Muri
19,"Atlet Wushu UNAIR, Alisya Mellynar Raih Emas dan Perunggu di Ajang ASEAN University Games 2022"
19,Mahasiswa UNAIR Raih Juara 2 Lomba Paper and Conference IESS 2022
19,Rektor: Orasi Guru Besar Jadi Bukti Inklusivitas Ilmu di UNAIR
19,10 Prodi di UNAIR Resmi Dapatkan Akreditasi FIBAA
19,Tim SIKIA UNAIR Banyuwangi Evakuasi dan Identifikasi Paus Terdampar di Banyuwangi
19,Mahasiswa HI UNAIR Tapaki Tanah Kazakhstan dalam Kegiatan Magang di KBRI
19,Sebanyak 8.116 Peserta Mengikuti Ujian Mandiri Reguler UNAIR
19,"Menyoal Anak Muda yang Berpikir Kritis, Dosen Filsafat UNAIR: Harus Kita Apresiasi"
20,Menkes Budi Sadikin Dukung UNAIR Kembangkan Teknologi Stem Cell
20,Alumni UNAIR Jakarta Bertemu Bahas Sinergitas dan Soliditas
20,Citayam Fashion Week Bentuk Artikulasi Kultural dan Identitas Fashion Anak Muda
20,Obituari: Pak Mashariono Sang Alumni Teladan
20,"Usung Smartwatch Cegah Kekerasan Seksual, Tim UNAIR Raih Silver Medal LKTI FAPERTA FAIR 2022"
20,Tips Mengisi Waktu Liburan Ala Mawapres UNAIR
20,Kenali Beda Ganja Medis dan Ganja Rekreasional
20,"Miliki Banyak Manfaat, Dokter FK UNAIR Sarankan Hal Ini Sebelum Legalisasi Ganja"
20,UNAIR Masih Buka Seleksi Jalur Mandiri Reguler
20,Ahli Gizi UNAIR Bagi 4 Tips Atasi Kolesterol Tinggi Saat Iduladha
20,"Raih Banyak HKI di Bidang Stem Cell, Dosen Vokasi UNAIR Raih Rekor MURI"
20,"Dugaan Penyelewengan Dana oleh ACT, Pakar Hukum UNAIR Paparkan Pengaturan Hingga Sanksi Pidananya"
21,"Serial Stranger Things Angkat Kemampuan Musik Redakan Stress, Begini Fakta Psikologinya?"
21,"IISMA di Korea Univerisity, Alin Terkesan dengan Budaya Tepat Waktu Korsel"
21,"Rapim 2022 UNAIR, Rektor: Bukti Capaian Prestasi Itu Adalah Kualitas Lulusan"
21,Prof Fedik Pastikan Vaksin Merah Putih Dapat Menangkap Varian Virus Terbaru
21,UNAIR Raih Penghargaan Keunggulan Indikator Kinerja Utama Ketiga
21,"Jaga Pola Tidur Berkualitas, Hindari Obat Tidur"
21,14 Persen Pengangguran Indonesia Lulusan Diploma dan Sarjana. Mengapa?
21,Mahasiswa UNAIR Raih Silver Medal di International Invention Competition For Young Moslem Scientist (IICYMS) 2022
21,Vaksin Merah Putih UNAIR Tunggu Ijin BPOM untuk Uji Klinis Fase 3
21,"Melesat, QS WUR UNAIR Tembus Top 369 Dunia"
21,"Wakili Indonesia, Alumnus UNAIR Raih Dua Medali di Sea Games 2021"
21,Bangga! Alumnus UNAIR Raih Medali Emas pada Ajang SEA Games
22,"Kukuhkan 4 Gubes, Rektor: Energi Baru Antarkan UNAIR Lebih Maju"
22,"UNAIR Resmikan Rumah Kompos, Fasilitasi Pengelolaan Sampah di Kampus"
22,"Banyak CPNS Mundur, Gubes UNAIR: Pemerintah Harus Adaptif"
22,"Kisah Kapten RSTKA, Arungi Laut Bantu Pelayanan Kesehatan"
22,Rektor UNAIR Periode 1993-1997 Prof Bambang Rahino Tutup Usia
22,HEBAT! Mahasiswa UNAIR Raih Medali Emas dalam Ajang SEA GAMES
22,Dosen UNAIR: Akuisisi Twitter Oleh Elon Musk Bisa Dominasi Ruang Digital
22,"Terapkan Prokes, Sebanyak 16.624 Peserta Ikuti UTBK di UNAIR"
22,"Ramai Wabah PMK di Jatim, Prof Fedik: Segera Disinfeksi di Lingkungan Peternakan"
22,FKH UNAIR Bentuk Tim Tangani Wabah PMK di Jatim
22,UNAIR Raih Posisi 5 Indonesia dalam THE Impact Rankings 2022
22,Pakar UNAIR Bagikan Tips Menjaga Pola Makan Pasca Ramadan
23,Lima Tips Konsumsi Makanan Saat Lebaran Ala Pakar UNAIR
